"company_number","company_name","entity_type","hq_address","sic_codes","accounts_category","filing_date","pdf_filename","latest_turnover","turnover_year","employees","meets_band","notes"
"7543597","A QUALITY SERVICE LTD","Private Limited Company","ATLAS HOUSE, NEWPORT, NP19 0EE","81221;81222;81229;81299","FULL","16/12/2025","07543597_A_QUALITY_SERVICE_LTD.pdf","4498761","2024","","",""
"4013621","ACTAVO (UK) LIMITED","Private Limited Company","11TH FLOOR, BIRMINGHAM, B4 6WR","33200;77390;81229","FULL","25/09/2025","04013621_ACTAVO_UK_LIMITED.pdf","10502000","2024","","",""
"4375020","ANTI-GRAFFITI SYSTEMS LIMITED","Private Limited Company","UNIT D PROSPECT HOUSE, BRIGHTON, BN2 4JE","81222","GROUP","30/06/2026","04375020_ANTI_GRAFFITI_SYSTEMS_LIMITED.pdf","19350030","2025","","",""
"1369726","BELFOR UK LIMITED","Private Limited Company","NO 1 COLMORE SQUARE, WEST MIDLANDS, B4 6AA","81210","FULL","09/10/2025","01369726_BELFOR_UK_LIMITED.pdf","37576342","2024","","",""
"1057375","BIRKIN CLEANING SERVICES LIMITED","Private Limited Company","MAGNET ROAD, GRAYS, RM20 4DP","81210","FULL","30/09/2025","01057375_BIRKIN_CLEANING_SERVICES_LIMITED.pdf","24355986","2024","","",""
"1862534","BRAYBORNE FACILITIES SERVICES LIMITED","Private Limited Company","NEW CENTURY HOUSE, IPSWICH, IP3 9SJ","81210","FULL","23/12/2024","01862534_BRAYBORNE_FACILITIES_SERVICES_LIMITED.pdf","17158566","2024","","",""
"1028083","CAVALIER CARPETS LIMITED","Private Limited Company","BANK TOP MILL DIXON STREET, BLACKBURN, BB2 1TX","13931;49410;66290;81222","MEDIUM","09/09/2025","01028083_CAVALIER_CARPETS_LIMITED.pdf","22620046","2024","","",""
"3996472","CHATFIELD CLEANING LIMITED","Private Limited Company","1 BROMLEY LANE, KENT, BR7 6LH","81221","MEDIUM","06/11/2025","03996472_CHATFIELD_CLEANING_LIMITED.pdf","48814639","2025","","",""
"6003075","CIRCLE DECONTAMINATION LIMITED","Private Limited Company","1ST FLOOR, LONDON, EC4M 6XH","81222;82990","FULL","06/01/2026","06003075_CIRCLE_DECONTAMINATION_LIMITED.pdf","15507000","2024","","",""
"4155293","CK FACILITIES MANAGEMENT LTD","Private Limited Company","245 HAMMERSMITH ROAD, LONDON, W6 8PW","64209;81210;81222","GROUP","09/10/2025","04155293_CK_FACILITIES_MANAGEMENT_LTD.pdf","13673744","2024","","",""
"3542846","DALL CLEANING SERVICES PUBLIC LIMITED COMPANY","Public Limited Company","UPPER DECK ADMIRALS QUARTERS, THAMES DITTON, KT7 0XA","80100;81210","FULL","31/07/2025","03542846_DALL_CLEANING_SERVICES_PUBLIC_LIMITED_COMPANY.pdf","7086084","2025","","",""
"4384324","DOC CLEANING LIMITED","Private Limited Company","46-54 HIGH STREET, ESSEX, CM4 9DW","81210;96090","MEDIUM","17/11/2025","04384324_DOC_CLEANING_LIMITED.pdf","39645195","2025","","",""
"7339577","ECOSPILL LTD","Private Limited Company","ALDWARKE BUSINESS PARK, ROTHERHAM, S65 3SH","81222","FULL","07/07/2026","07339577_ECOSPILL_LTD.pdf","13729474","2025","","",""
"444313","ENIGMA INDUSTRIAL SERVICES LTD","Private Limited Company","HAWTHORN HOUSE 2ND FLOOR, NEWTON-LE-WILLOWS, WA12 0HF","42220;43991;81100;81222","FULL","07/07/2025","00444313_ENIGMA_INDUSTRIAL_SERVICES_LTD.pdf","72059181","2025","","",""
"5927236","EPMG FACILITIES MANAGEMENT LIMITED","Private Limited Company","2 HILLS ROAD, CAMBRIDGE, CB2 1JP","81210","SMALL","13/07/2026","05927236_EPMG_FACILITIES_MANAGEMENT_LIMITED.pdf","14413438","2025","","",""
"2770135","EXCELLERATE SERVICES UK LIMITED","Private Limited Company","65 LEONARD STREET, LONDON, EC2A 4QS","81210;81221;81222;81299","FULL","16/10/2025","02770135_EXCELLERATE_SERVICES_UK_LIMITED.pdf","30050104","2024","","",""
"2189512","EXCLUSIVE CONTRACT SERVICES LIMITED","Private Limited Company","NEW CENTURY HOUSE, IPSWICH, IP3 9SJ","81210","FULL","23/12/2024","02189512_EXCLUSIVE_CONTRACT_SERVICES_LIMITED.pdf","10151620","2024","","",""
"7682858","FIDELIS CONTRACT SERVICES LTD","Private Limited Company","HOLLY HOUSE, BIRMINGHAM, B44 9ER","81100;81210;81229","FULL","17/05/2026","07682858_FIDELIS_CONTRACT_SERVICES_LTD.pdf","10819000","2025","","",""
"1203036","GCC FACILITIES MANAGEMENT LTD","Private Limited Company","8-10 HIGH ST, SURREY, SM1 1HN","81210","GROUP","31/12/2025","01203036_GCC_FACILITIES_MANAGEMENT_LTD.pdf","12724615","2025","","",""
"1122437","HAMTON ENVIRONMENTAL SERVICES LIMITED","Private Limited Company","177-185 HORNCHURCH ROAD, HORNCHURCH, RM12 4TE","81100;81210","GROUP","10/10/2025","01122437_HAMTON_ENVIRONMENTAL_SERVICES_LIMITED.pdf","37081725","2024","","",""
"4373379","HI-SPEC FACILITIES SERVICES LTD","Private Limited Company","RIDING COURT HOUSE RIDING COURT ROAD, SLOUGH, SL3 9JT","81100;81210;81221;81300","GROUP","07/01/2026","04373379_HI_SPEC_FACILITIES_SERVICES_LTD.pdf","14011059","2024","","",""
"1905230","HYGIENE GROUP LIMITED","Private Limited Company","8 CASTLE ROAD, BIRMINGHAM, B30 3HZ","81222","FULL","26/02/2026","01905230_HYGIENE_GROUP_LIMITED.pdf","13327584","2025","","",""
"481054","IDEAL CLEANING SERVICES LIMITED","Private Limited Company","351 NUTHALL ROAD, NG8 5BX","81210;97000","FULL","23/03/2026","00481054_IDEAL_CLEANING_SERVICES_LIMITED.pdf","11457160","2025","","",""
"6941723","KGB CLEANING SOUTH WEST LIMITED","Private Limited Company","INNOVATION CENTRE 99 PARK DRIVE, ABINGDON, OX14 4RY","81210;81299","FULL","28/11/2025","06941723_KGB_CLEANING_SOUTH_WEST_LIMITED.pdf","25077023","2024","","",""
"3015648","MANTANK ENVIRONMENTAL SERVICES LIMITED","Private Limited Company","HILL HOUSE FARM REDMARSHALL ROAD, STOCKTON ON TEES, TS21 1EW","45200;46770;81210;96090","FULL","28/08/2025","03015648_MANTANK_ENVIRONMENTAL_SERVICES_LIMITED.pdf","12785908","2025","","",""
"3032719","N-VIRO LIMITED","Private Limited Company","9 ACORN BUSINESS PARK, PORTSMOUTH, PO6 3TH","81210","FULL","13/01/2026","03032719_N_VIRO_LIMITED.pdf","22872622","2025","","",""
"3235366","NRC SERVICES LIMITED","Private Limited Company","N R C HOUSE, SHEFFIELD, S9 3TE","43210;43341;43390;81210","GROUP","28/01/2026","03235366_NRC_SERVICES_LIMITED.pdf","14869644","2025","","",""
"3331851","NUSERVE LIMITED","Private Limited Company","2 LONDON WALL PLACE, LONDON, EC2Y 5AU","81210","FULL","30/04/2026","03331851_NUSERVE_LIMITED.pdf","14831535","2025","","",""
"2708722","REGULAR CLEANING SERVICES LIMITED","Private Limited Company","ALDWORTH HOUSE, LONDON, SE13 6HJ","81210","FULL","04/11/2025","02708722_REGULAR_CLEANING_SERVICES_LIMITED.pdf","37221386","2025","","",""
"7447234","SASSE LIMITED","Private Limited Company","UNIT 3 THE VALLEY BUSINESS CENTRE, HIGH WYCOMBE, HP13 6EQ","81100;81210;81222;81229","FULL","02/06/2026","07447234_SASSE_LIMITED.pdf","37228120","2025","","",""
"4439202","SAYVOL ENVIRONMENTAL AND BUILDING SERVICES LIMITED","Private Limited Company","TIMSONS BUSINESS CENTRE PERFECTA WORKS, KETTERING, NN16 8NQ","81222","MEDIUM","04/06/2026","04439202_SAYVOL_ENVIRONMENTAL_AND_BUILDING_SERVICES_LIMITED.pdf","15515351","2025","","",""
"1250088","SERVICEMASTER LIMITED","Private Limited Company","SERVICEMASTER HOUSE WHITTLE ESTATE, WHETSTONE, LE8 6LH","70100;81210;81222;96090","FULL","18/04/2026","01250088_SERVICEMASTER_LIMITED.pdf","19932877","2025","","",""
"4103369","SO CLEAN COMMERCIAL SERVICES LIMITED","Private Limited Company","EXHIBITION HOUSE, FARNBOROUGH ORPINGTON, BR6 7AB","81210","FULL","04/11/2025","04103369_SO_CLEAN_COMMERCIAL_SERVICES_LIMITED.pdf","14038383","2025","","",""
"4746094","STANDARD OFFICE CLEANING (UK) LIMITED","Private Limited Company","1B BETHWIN ROAD, LONDON, SE5 0SN","81210","GROUP","12/12/2025","04746094_STANDARD_OFFICE_CLEANING_UK_LIMITED.pdf","7140003","2025","","",""
"1219526","THE FLOORBRITE GROUP LIMITED","Private Limited Company","CRANFORD HOUSE, MANCHESTER, M33 2AU","81210","FULL","08/01/2026","01219526_THE_FLOORBRITE_GROUP_LIMITED.pdf","29815970","2025","","",""
"4707623","WE CLEAN LIMITED","Private Limited Company","RUBERY HOUSE, BIRMINGHAM, B45 9AL","81229","FULL","28/04/2026","04707623_WE_CLEAN_LIMITED.pdf","14350041","2025","","",""
"8182786","WESTCOTT INVESTMENTS LIMITED","Private Limited Company","15 STATION ROAD, ST. IVES, PE27 5BH","81222;96010","GROUP","29/09/2025","08182786_WESTCOTT_INVESTMENTS_LIMITED.pdf","19549677","2024","","",""
"473038","WETTON CLEANING SERVICES LIMITED","Private Limited Company","ESTATE HOUSE, SEVENOAKS, TN13 1XR","81210","MEDIUM","07/01/2026","00473038_WETTON_CLEANING_SERVICES_LIMITED.pdf","23023438","2025","","",""
